NACA,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
1,0,-0.0001,0.01005,8.00E-05,0,0.0133,0.0133
1,3,0.328,0.02089,0.01564,0.0046,0.0049,1
1,4,0.4405,0.03197,0.0279,0.0045,0.004,1
1,5,0.5503,0.04768,0.04456,-0.001,0.0045,1
1,6,0.647,0.06709,0.06453,-0.0156,0.0055,1
11,0,0,0.00607,0.00209,0,0.8467,0.8468
11,1,0.1027,0.00636,0.0022,0.004,0.7432,0.9216
11,2,0.2228,0.00711,0.0025,0.0035,0.6138,0.9648
11,3,0.37,0.00811,0.00289,-0.004,0.4551,0.9856
11,4,0.5209,0.00933,0.00341,-0.0132,0.2766,1
11,5,0.6108,0.01064,0.00412,-0.0099,0.1454,1
11,6,0.6973,0.01219,0.00534,-0.0055,0.0767,1
11,7,0.7832,0.01387,0.00699,-0.0008,0.0516,1
11,8,0.8655,0.01618,0.00935,0.0042,0.0392,1
11,9,0.9494,0.01874,0.01208,0.0085,0.032,1
11,10,1.0276,0.02227,0.01581,0.0129,0.0273,1
21,0,0,0.00973,0.00352,0,0.5865,0.5865
21,1,0.1033,0.0098,0.00357,0.0022,0.536,0.6393
21,2,0.2057,0.00995,0.00376,0.0046,0.4878,0.6935
21,3,0.308,0.01021,0.00407,0.007,0.442,0.7495
21,4,0.4094,0.0106,0.00453,0.0096,0.398,0.8039
21,5,0.5085,0.01118,0.00516,0.0127,0.3557,0.8555
21,6,0.6032,0.01199,0.00595,0.0165,0.3157,0.9024
21,7,0.6958,0.01307,0.00697,0.0206,0.278,0.9418
21,8,0.812,0.01456,0.00833,0.0191,0.24,0.9669
21,9,0.9465,0.01642,0.01001,0.0127,0.2034,0.9824
31,0,0,0.01349,0.00629,0,0.4936,0.4936
31,1,0.0718,0.01353,0.00633,0.0077,0.4673,0.5214
31,2,0.1387,0.01361,0.00643,0.0162,0.4426,0.551
31,3,0.2055,0.01382,0.00667,0.0245,0.4195,0.5826
31,4,0.2822,0.01423,0.00715,0.0305,0.3974,0.6166
31,5,0.3612,0.0148,0.00786,0.0356,0.3762,0.6543
31,7,0.5187,0.01666,0.00998,0.0444,0.3365,0.7383
31,8,0.5939,0.01803,0.01152,0.0485,0.318,0.7845
31,9,0.6646,0.01981,0.01347,0.0526,0.3005,0.8336
31,10,0.7287,0.02207,0.0159,0.0572,0.284,0.8839
101,0,-0.0001,0.01005,8.00E-05,0,0.0133,0.0133
101,3,0.328,0.02089,0.01564,0.0046,0.0049,1
101,4,0.4405,0.03197,0.0279,0.0045,0.004,1
101,5,0.5503,0.04768,0.04456,-0.001,0.0045,1
101,6,0.647,0.06709,0.06453,-0.0156,0.0055,1
111,0,0,0.00607,0.00209,0,0.8467,0.8468
111,1,0.1027,0.00636,0.0022,0.004,0.7432,0.9216
111,2,0.2228,0.00711,0.0025,0.0035,0.6138,0.9648
111,3,0.37,0.00811,0.00289,-0.004,0.4551,0.9856
111,4,0.5209,0.00933,0.00341,-0.0132,0.2766,1
111,5,0.6108,0.01064,0.00412,-0.0099,0.1454,1
111,6,0.6973,0.01219,0.00534,-0.0055,0.0767,1
111,7,0.7832,0.01387,0.00699,-0.0008,0.0516,1
111,8,0.8655,0.01618,0.00935,0.0042,0.0392,1
111,9,0.9494,0.01874,0.01208,0.0085,0.032,1
111,10,1.0276,0.02227,0.01581,0.0129,0.0273,1
121,0,0,0.00973,0.00352,0,0.5865,0.5865
121,1,0.1033,0.0098,0.00357,0.0022,0.536,0.6393
121,2,0.2057,0.00995,0.00376,0.0046,0.4878,0.6935
121,3,0.308,0.01021,0.00407,0.007,0.442,0.7495
121,4,0.4094,0.0106,0.00453,0.0096,0.398,0.8039
121,5,0.5085,0.01118,0.00516,0.0127,0.3557,0.8555
121,6,0.6032,0.01199,0.00595,0.0165,0.3157,0.9024
121,7,0.6958,0.01307,0.00697,0.0206,0.278,0.9418
121,8,0.812,0.01456,0.00833,0.0191,0.24,0.9669
121,9,0.9465,0.01642,0.01001,0.0127,0.2034,0.9824
131,0,0,0.01349,0.00629,0,0.4936,0.4936
131,1,0.0718,0.01353,0.00633,0.0077,0.4673,0.5214
131,2,0.1387,0.01361,0.00643,0.0162,0.4426,0.551
131,3,0.2055,0.01382,0.00667,0.0245,0.4195,0.5826
131,4,0.2822,0.01423,0.00715,0.0305,0.3974,0.6166
131,5,0.3612,0.0148,0.00786,0.0356,0.3762,0.6543
131,7,0.5187,0.01666,0.00998,0.0444,0.3365,0.7383
131,8,0.5939,0.01803,0.01152,0.0485,0.318,0.7845
131,9,0.6646,0.01981,0.01347,0.0526,0.3005,0.8336
131,10,0.7287,0.02207,0.0159,0.0572,0.284,0.8839
201,0,-0.0001,0.01005,8.00E-05,0,0.0133,0.0133
201,3,0.328,0.02089,0.01564,0.0046,0.0049,1
