  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4431                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.447 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2892   0.01484   0.00717  -0.0602   0.4998   0.3870
   1.000   0.3715   0.01496   0.00755  -0.0557   0.4865   0.4413
   2.000   0.4622   0.01526   0.00811  -0.0529   0.4730   0.5188
   3.000   0.5585   0.01576   0.00872  -0.0512   0.4590   0.5931
   4.000   0.6401   0.01647   0.00975  -0.0473   0.4471   0.6598
   5.000   0.7293   0.01736   0.01084  -0.0448   0.4347   0.7280
   6.000   0.8122   0.01841   0.01210  -0.0415   0.4222   0.8047
   7.000   0.8797   0.01991   0.01396  -0.0357   0.4102   0.8963
   8.000   0.9677   0.02192   0.01603  -0.0343   0.3978   0.9743
   9.000   1.1121   0.02466   0.01865  -0.0456   0.3838   0.9991
  10.000   1.1282   0.02701   0.02104  -0.0345   0.3721   1.0000
